ID,Cluster_Assignment,Latitude,Longitude
Pr_2002,2,53.1589,17.8237
Pr_2003,2,53.2424,19.2924
Pr_2004,2,53.4547,20.7364
Pr_2005,2,49.6088,19.4961
Pr_775,2,40.012261,-8.7261
Pr_2067,2,44.93971,26.028603
Pr_2073,2,47.183,27.483
Pr_1974,2,40.33617899,-5.785733974
Pr_1975,2,40.02397497,-5.729586035
Pr_1982,2,41.528,1.23
Pr_1984,2,40.6181,-2.7201
Pr_1985,2,39.1895,-1.7449
Pr_1986,2,39.5394,-3.2398
Pr_1987,2,41.2908,-1.5117
Pr_1988,2,41.6121,1.1821
Pr_2049,2,37.101,-3.529
Pr_2061,2,42.047,-8.939
Pr_2065,2,42.417,-5.305
Pr_2066,2,36.838,-5.349
Pr_842,2,42.009148,2.472252
Pr_867,2,40.581326,-3.25164
Pr_869,2,40.580976,-3.252463
Pr_876,2,40.57021,-3.152068
Pr_877,2,40.901535,-3.020662
Pr_879,2,40.49744,-3.26036
Pr_880,2,40.45856,-3.3409
Pr_882,2,40.45869,-3.34017
Pr_1969,2,50.183333,36.4
Pr_1269,2,36.859948,30.767963
Pr_1270,2,36.859948,30.767963
Pr_1272,2,36.859948,30.767963
Pr_1275,2,36.859948,30.767963
Pr_1276,2,36.859948,30.767963
Pr_1278,2,36.859948,30.767963
Pr_1279,2,36.859948,30.767963
Pr_1381,2,46.654381,11.042914
Pr_1878,2,52.01358,0.246583
Pr_1879,2,52.01358,0.246583
Pr_1881,2,52.01358,0.246583
Pr_1882,2,52.01358,0.246583
Pr_1889,2,52.01358,0.246583
Pr_1919,2,42.925,2.958
Pr_1926,2,59.630212,18.520505
Pr_1927,2,59.749,18.656
Pr_1928,2,41.312,24.052
Pr_1929,2,41.766,23.402
Pr_1930,2,41.474,24.062
Pr_1931,2,41.474,24.062
Pr_1932,2,41.612,24.181
Pr_1933,2,41.611,25.654
Pr_1934,2,41.611,25.654
Pr_1939,2,40.564,21.23
Pr_1940,2,39.221,20.84
Pr_1941,2,44.4681,28.4859
Pr_1942,2,39.1328,22.8374
Pr_1944,2,38.4791,22.5057
Pr_1945,2,38.0213,22.2328
Pr_1968,2,51.01,31.9
Pr_1994,2,52.873,14.2025
Pr_1995,2,52.3024,16.8919
Pr_1996,2,53.3884,21.576
Pr_1997,2,53.3664,22.542
Pr_1998,2,51.449,21.994
Pr_1999,2,50.906,20.942
Pr_2000,2,49.6088,19.4961
Pr_2001,2,53.4873,16.5533
Pr_2054,2,47.755941,23.60743
Pr_2055,2,44.39,5.49
Pr_2056,2,57.733,27.358
Pr_2057,2,57.733,27.358
Pr_2058,2,57.733,27.358
Pr_2062,2,45.299,22.894
Pr_2063,2,46.743,25.664
Pr_2068,2,45.181,24.114
Pr_2069,2,46.779476,23.964765
Pr_2070,2,45.094,26.533
Pr_2071,2,44.061,27.649
Pr_2072,2,45.175,22.301
Pr_2074,2,47.383,25.483
Pr_2096,2,53.9067,56.4749
Pr_2099,2,53.9067,56.4749
Pr_2100,2,53.9067,56.4749
Pr_793,2,60.227931,25.039943
Pr_944,2,49.5,17
Pr_946,2,49.5,17
Pr_948,2,49.5,17
Pr_950,2,49.5,17
Pr_951,2,49.5,17
Pr_955,2,49.5,17
Pr_957,2,49.5,17
Pr_961,2,49.5,17
Pr_970,2,49.5,17
Pr_975,2,49.5,17
Pr_983,2,49.5,17
Pr_988,2,49.5,17
Pr_2042,2,36.042,14.274
Pr_2043,2,36.042,14.274
Pr_2044,2,36.042,14.274
Pr_2045,2,36.042,14.274
Pr_2046,2,35.859,14.4
Pr_2047,2,35.859,14.4
Pr_2048,2,35.859,14.4
Pr_2051,2,35.902,14.407
Pr_2052,2,35.902,14.407
Pr_2053,2,35.902,14.407
Pr_1915,1,36.446,4.113
Pr_1916,1,36.63,4.598
Pr_1921,1,37.252,9.79
Pr_1922,1,37.164,10.11
Pr_1923,1,35.931,8.544
Pr_1925,1,33.104,6.088
Pr_1946,1,35.19,1.13
Pr_1947,1,35.75,4.55
Pr_1948,1,35.86,4.75
Pr_2006,1,36.911389,7.756667
Pr_2013,1,37.177,9.725
Pr_2014,1,31.262,-7.82
Pr_2015,1,36.594,4.608
Pr_2016,1,36.257,5.245
Pr_2017,1,36.329,5.36
Pr_2018,1,35.326,4.297
Pr_2019,1,35.411,8.604
Pr_2020,1,33.407,9.008
Pr_2021,1,33.942,8.173
Pr_2022,1,34.345,8.329
Pr_2023,1,35.425,9.571
Pr_2024,1,36.116,9.656
Pr_2025,1,36.415,9.916
Pr_2028,1,35.702,-5.629
Pr_2029,1,35.469,-5.817
Pr_2030,1,35.22,4.19
Pr_2032,1,32.993,-5.075
Pr_2033,1,33.48,-5.023
Pr_2034,1,34.078,-4.12
Pr_2035,1,34.121,-4.039
Pr_2036,1,34.145,-4.01
Pr_2037,1,34.817,-2.412
Pr_2038,1,34.994,-4.832
Pr_2039,1,35.119,-5.194
Pr_2050,1,33.662,-4.854
Pr_2064,1,36.782,8.751
Pr_1010,3,-37.15059,175.563079
Pr_1078,3,-37.8888,145.3361
Pr_1086,3,-37.9638,145.225
Pr_1093,3,-38.04583,145.1
Pr_1109,3,-34.749872,149.720264
Pr_1120,3,-34.749572,149.720264
Pr_1121,3,-34.74972,149.72027
Pr_1156,3,-26.429167,152.761389
Pr_1160,3,-33.798056,151.106111
Pr_1211,3,-34.744451,150.824807
Pr_1213,3,-34.744451,150.824807
Pr_1215,3,-34.777778,150.733611
Pr_1216,3,-34.777778,150.733611
Pr_1217,3,-34.777778,150.733611
Pr_1232,3,-37.417628,175.930133
Pr_1238,3,-37.417628,175.930133
Pr_1245,3,-37.417628,175.930133
Pr_1251,3,-37.417628,175.930133
Pr_1252,3,-37.417628,175.930133
Pr_1259,3,-37.417628,175.930133
Pr_1260,3,-37.417628,175.930133
Pr_1261,3,-37.417628,175.930133
Pr_1262,3,-37.417628,175.930133
Pr_1282,3,-37.870158,145.11636
Pr_1308,3,-37.856451,145.071999
Pr_1326,3,-37.861739,144.982937
Pr_1327,3,-37.835964,145.0346
Pr_1333,3,-37.88405,145.14098
Pr_1498,3,-26.428611,152.761111
Pr_1499,3,-26.428611,152.761111
Pr_1502,3,-26.428611,152.761111
Pr_1503,3,-26.428611,152.761111
Pr_1504,3,-26.428611,152.761111
Pr_1507,3,-26.428611,152.761111
Pr_1509,3,-26.428611,152.761111
Pr_1513,3,-33.657665,150.164732
Pr_1514,3,-33.657665,150.164732
Pr_1515,3,-43.53321,172.560738
Pr_1526,3,-37.024722,145.143333
Pr_1527,3,-37.024444,145.142778
Pr_1528,3,-37.024444,145.142778
Pr_1529,3,-37.024444,145.142778
Pr_1810,3,-37.20512,145.00456
Pr_1814,3,-37.20512,145.00456
Pr_1845,3,-35.26262,149.06341
Pr_1848,3,-35.26262,149.06341
Pr_1849,3,-35.26262,149.06341
Pr_1850,3,-35.26262,149.06341
Pr_1851,3,-35.26262,149.06341
Pr_1852,3,-35.26262,149.06341
Pr_911,3,-31.985341,115.896047
Pr_913,3,-31.985341,115.896047
Pr_914,3,-31.985341,115.896047
Pr_915,3,-31.985234,115.896047
Pr_916,3,-31.981734,115.916432
Pr_1,4,42.60513,-85.64005
Pr_10,4,42.60513,-85.64005
Pr_1125,4,40.41982,-89.82711
Pr_1134,4,40.41982,-89.82711
Pr_1142,4,33.6147,-117.6376
Pr_1143,4,39.068838,-108.457602
Pr_1149,4,39.164722,-108.746944
Pr_1150,4,39.164722,-108.746944
Pr_1206,4,32.68198,-117.179794
Pr_1207,4,32.68198,-117.179794
Pr_1230,4,34.012398,-118.282847
Pr_1231,4,34.012398,-118.282847
Pr_1358,4,52.1188,-106.6489
Pr_1360,4,52.1188,-106.6489
Pr_1361,4,52.1188,-106.6489
Pr_1363,4,52.1188,-106.6489
Pr_1364,4,52.1188,-106.6489
Pr_1365,4,52.1188,-106.6489
Pr_1366,4,52.1188,-106.6489
Pr_1367,4,52.1188,-106.6489
Pr_1394,4,40.39024,-89.88538
Pr_1403,4,40.39127,-89.91068
Pr_1459,4,35.625,-86.248333
Pr_1460,4,35.625,-86.248333
Pr_1461,4,35.625,-86.248333
Pr_1466,4,47.362222,-122.103611
Pr_1468,4,47.362222,-122.103611
Pr_1472,4,43.4066,-91.5636
Pr_1478,4,43.3179,-91.8124
Pr_1488,4,43.3186,-91.8228
Pr_1496,4,43.4358,-92.3853
Pr_1497,4,43.4358,-92.3853
Pr_168,4,45.36913889,-120.7816389
Pr_169,4,45.36913889,-120.7816389
Pr_170,4,45.36913889,-120.7816389
Pr_171,4,45.77183333,-119.2504167
Pr_176,4,45.77183333,-119.2504167
Pr_177,4,45.77183333,-119.2504167
Pr_178,4,45.77183333,-119.2504167
Pr_179,4,45.77183333,-119.2504167
Pr_180,4,45.77183333,-119.2504167
Pr_1800,4,45.450732,-99.33655
Pr_1801,4,45.450732,-99.33655
Pr_1802,4,45.450732,-99.33655
Pr_1803,4,45.450732,-99.33655
Pr_1804,4,45.450732,-99.33655
Pr_1806,4,45.450732,-99.33655
Pr_181,4,45.77183333,-119.2504167
Pr_182,4,45.77183333,-119.2504167
Pr_183,4,45.77183333,-119.2504167
Pr_1856,4,40.74542,-89.568677
Pr_1865,4,45.529169,-84.46795
Pr_1868,4,45.529169,-84.46795
Pr_1876,4,35.27438,-86.464454
Pr_1899,4,40.02461,-105.2312
Pr_1901,4,40.5772,-105.0799
Pr_195,4,45.96372222,-121.4738889
Pr_196,4,45.96372222,-121.4738889
Pr_199,4,45.96372222,-121.4738889
Pr_1990,4,30.41427,-107.88851
Pr_1991,4,30.41427,-107.88851
Pr_1992,4,30.854607,-108.37686
Pr_2,4,42.60513,-85.64005
Pr_200,4,45.96372222,-121.4738889
Pr_202,4,48.35322222,-120.0393611
Pr_204,4,48.35322222,-120.0393611
Pr_208,4,48.50477778,-119.5023056
Pr_2087,4,42.319048,-83.237884
Pr_209,4,48.50477778,-119.5023056
Pr_221,4,47.75908333,-118.7105278
Pr_231,4,47.75908333,-118.7105278
Pr_249,4,47.34913889,-118.0241667
Pr_250,4,47.34913889,-118.0241667
Pr_256,4,39.036944,-108.528333
Pr_257,4,39.036944,-108.528333
Pr_261,4,39.036944,-108.528333
Pr_293,4,43.382483,-80.384833
Pr_3,4,42.60513,-85.64005
Pr_301,4,43.382483,-80.384833
Pr_312,4,43.382483,-80.384833
Pr_347,4,38.96371,-95.24075
Pr_4,4,42.60513,-85.64005
Pr_473,4,42.30642,-84.04108
Pr_474,4,42.30642,-84.04108
Pr_5,4,42.60513,-85.64005
Pr_531,4,41.6775,-85.593333
Pr_538,4,41.683333,-85.665278
Pr_597,4,43,-81.29
Pr_6,4,42.60513,-85.64005
Pr_606,4,43.499595,-80.379067
Pr_65,4,41.410575,-81.697364
Pr_68,4,41.882461,-80.000875
Pr_69,4,41.052653,-81.864631
Pr_7,4,42.60513,-85.64005
Pr_710,4,38.289131,-85.627215
Pr_713,4,38.289131,-85.627215
Pr_718,4,38.289131,-85.627215
Pr_720,4,38.289131,-85.627215
Pr_722,4,38.289131,-85.627215
Pr_738,4,38.289131,-85.627215
Pr_739,4,38.289131,-85.627215
Pr_744,4,38.289131,-85.627215
Pr_747,4,38.289131,-85.627215
Pr_748,4,38.289131,-85.627215
Pr_750,4,38.289131,-85.627215
Pr_751,4,38.289131,-85.627215
Pr_8,4,42.60513,-85.64005
Pr_9,4,42.60513,-85.64005
Pr_909,4,42.059444,-87.8425
Pr_991,4,43,-81.29
Pr_1022,4,36.233918,-79.1804859
Pr_1023,4,36.233918,-79.1804859
Pr_1024,4,35.919024,-79.069947
Pr_1026,4,36.233918,-79.1804859
Pr_1032,4,35.919024,-79.069947
Pr_1046,4,36.233918,-79.1804859
Pr_1048,4,36.233918,-79.1804859
Pr_1049,4,36.233918,-79.1804859
Pr_1347,4,43.1199752,-73.70442
Pr_1348,4,43.1199752,-73.70442
Pr_1349,4,43.1199752,-73.70442
Pr_1352,4,43.1199752,-73.70442
Pr_1354,4,43.1199752,-73.70442
Pr_1355,4,43.1199752,-73.70442
Pr_1356,4,43.1199752,-73.70442
Pr_1432,4,45.1139507,-64.3939161
Pr_1434,4,45.1139507,-64.3939161
Pr_1435,4,45.1139507,-64.3939161
Pr_1436,4,45.1139507,-64.3939161
Pr_1437,4,45.1139507,-64.3939161
Pr_1438,4,45.1139507,-64.3939161
Pr_1439,4,45.1139507,-64.3939161
Pr_1440,4,45.1139507,-64.3939161
Pr_1491,4,43.4379,-92.006
Pr_1834,4,30.977239,-84.530178
Pr_1835,4,30.977239,-84.530178
Pr_1836,4,30.977239,-84.530178
Pr_1837,4,30.977239,-84.530178
Pr_1838,4,30.977239,-84.530178
Pr_1839,4,30.977239,-84.530178
Pr_1840,4,30.977239,-84.530178
Pr_1841,4,30.977239,-84.530178
Pr_1842,4,30.977239,-84.530178
Pr_1843,4,30.977239,-84.530178
Pr_1844,4,29.634104,-82.419571
Pr_1895,4,37.23929,-80.45876
Pr_1896,4,37.23929,-80.45876
Pr_383,4,41.7627,-72.6743
Pr_384,4,41.7627,-72.6743
Pr_386,4,41.7627,-72.6743
Pr_391,4,41.7627,-72.6743
Pr_40,4,40.05214,-77.96114
Pr_41,4,40.05214,-77.96114
Pr_43,4,40.05214,-77.96114
Pr_487,4,44.699167,-69.559722
Pr_496,4,44.392537,-73.093715
Pr_51,4,40.19847,-76.68372
Pr_514,4,44.888005,-68.659208
Pr_540,4,43.586118,-70.20567
Pr_57,4,40.20104,-76.68916
Pr_570,4,43.74844,-70.30495
Pr_589,4,44.99975,-67.443616
Pr_59,4,40.20016,-76.68369
Pr_590,4,44.99975,-67.443616
Pr_614,4,39.321255,-77.279703
Pr_63,4,33.871836,-83.106556
Pr_67,4,41.882461,-80.000875
Pr_75,4,36.886264,-81.370889
Pr_76,4,36.886264,-81.370889
Pr_761,4,43.70454,-70.09908
Pr_84,4,33.906608,-83.1894
Pr_896,4,38.920809,-77.39748
Pr_898,4,38.920809,-77.39748
Pr_899,4,38.920809,-77.39748
Pr_902,4,38.920809,-77.39748
Pr_1030,4,36.233918,-79.1804859
Pr_1033,4,36.233918,-79.1804859
Pr_1050,4,36.233918,-79.1804859
Pr_1993,4,24.086366,-104.56782
Pr_2077,4,20.480184,-101.404149
Pr_2079,4,20.480184,-101.404149
Pr_2076,5,19.2166,-155.4775
Pr_2078,5,20.9297,-156.6726
Pr_2080,5,20.9297,-156.6726
Pr_2081,5,20.2044,-155.7353
Pr_2082,5,19.4927,-155.3854
Pr_2083,5,20.2044,-155.7353
Pr_2084,5,20.2044,-155.7353
Pr_700,5,21.4092,-157.7992
Pr_701,5,21.4092,-157.7992
Pr_702,5,21.4092,-157.7992
Pr_703,5,21.4092,-157.7992
Pr_704,5,21.4092,-157.7992
Pr_706,5,21.4092,-157.7992
Pr_707,5,21.4092,-157.7992
Pr_708,5,21.4092,-157.7992
Pr_709,5,21.4092,-157.7992
Pr_115,5,37.749709,-122.421364
Pr_116,5,37.749709,-122.421364
Pr_1209,5,38.232,-122.636
Pr_125,5,42.2425,-122.7476389
Pr_131,5,42.2425,-122.7476389
Pr_151,5,40.37830556,-120.5465278
Pr_152,5,40.37830556,-120.5465278
Pr_154,5,40.37830556,-120.5465278
Pr_1877,5,37.34889,-122.0225
Pr_254,5,41.72636111,-115.8958333
Pr_357,5,38.82038,-119.77905
Pr_358,5,39.505221,-119.819734
Pr_359,5,39.23162,-120.76159
Pr_363,5,39.48045,-118.66911
Pr_369,5,39.685333,-119.830258
Pr_370,5,39.685333,-119.830258
Pr_371,5,39.685333,-119.830258
Pr_372,5,39.685333,-119.830258
Pr_373,5,39.685333,-119.830258
Pr_374,5,39.685333,-119.830258
Pr_375,5,39.685333,-119.830258
Pr_377,5,39.685333,-119.830258
Pr_392,5,38.6,-121.47
Pr_441,5,38.18,-122.03
Pr_442,5,38.18,-122.03
Pr_475,5,37.713641,-122.401147
Pr_763,5,37.707462,-122.485835
Pr_764,5,37.707462,-122.485835
Pr_765,5,37.706864,-122.482968
Pr_766,5,37.706864,-122.482968
Pr_768,5,37.702399,-122.469567
Pr_769,5,37.720354,-122.47564
Pr_771,5,37.702399,-122.469567
Pr_772,5,37.70649,-122.467689
Pr_88,5,38.152708,-121.669279
Pr_92,5,38.115698,-121.334887
Pr_95,5,38.115698,-121.334887
