Original_faststructure_order	ID	New_Order	Sub_order	Continent	Country
205	Pr_1922	259	V	Africa	Tunisia
206	Pr_1923	260	V	Africa	Tunisia
207	Pr_1924	173	N	Europe	Italy
208	Pr_1925	248	U	Africa	Algeria
209	Pr_1926	131	J	Europe	Sweden
210	Pr_1927	132	J	Europe	Sweden
211	Pr_1928	154	M	Europe	Greece
212	Pr_1929	107	F	Europe	Bulgaria
213	Pr_1930	108	F	Europe	Bulgaria
214	Pr_1931	109	F	Europe	Bulgaria
215	Pr_1932	110	F	Europe	Bulgaria
216	Pr_1933	111	F	Europe	Bulgaria
217	Pr_1934	112	F	Europe	Bulgaria
218	Pr_1935	113	F	Europe	Bulgaria
219	Pr_1936	155	M	Europe	Greece
220	Pr_1937	156	M	Europe	Greece
221	Pr_1938	157	M	Europe	Greece
222	Pr_1939	158	M	Europe	Greece
223	Pr_1940	159	M	Europe	Greece
224	Pr_1941	95	E	Europe	Romania
225	Pr_1942	160	M	Europe	Greece
226	Pr_1943	161	M	Europe	Greece
227	Pr_1944	162	M	Europe	Greece
228	Pr_1945	163	M	Europe	Greece
229	Pr_1946	249	U	Africa	Algeria
230	Pr_1947	250	U	Africa	Algeria
231	Pr_1948	251	U	Africa	Algeria
232	Pr_1949	28	C	Asia	China
233	Pr_195	430	A161	North_America	USA
234	Pr_1950	29	C	Asia	China
235	Pr_1951	30	C	Asia	China
236	Pr_1952	31	C	Asia	China
237	Pr_1953	32	C	Asia	China
238	Pr_1954	33	C	Asia	China
239	Pr_1955	34	C	Asia	China
240	Pr_1956	35	C	Asia	China
241	Pr_1957	36	C	Asia	China
242	Pr_1958	37	C	Asia	China
243	Pr_1959	38	C	Asia	China
244	Pr_196	431	A162	North_America	USA
245	Pr_1960	39	C	Asia	China
246	Pr_1961	40	C	Asia	China
247	Pr_1963	41	C	Asia	China
248	Pr_1964	42	C	Asia	China
249	Pr_1965	43	C	Asia	China
250	Pr_1966	44	C	Asia	China
251	Pr_1967	45	C	Asia	China
252	Pr_1968	93	D	Europe	Ukraine
253	Pr_1969	94	D	Europe	Ukraine
254	Pr_1970	195	O	Europe	England
255	Pr_1971	196	O	Europe	England
256	Pr_1972	197	O	Europe	England
