INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS	Species	Admix_K7_pops_outgroups_num	Country	IND_ID
Pr_1358	22059	0	157	0.00711728	Pieris_rapae	4	Canada	Pr_1358_Canada_K_4
Pr_1360	22059	0	136	0.00616528	Pieris_rapae	4	Canada	Pr_1360_Canada_K_4
Pr_1361	22059	0	134	0.00607462	Pieris_rapae	4	Canada	Pr_1361_Canada_K_4
Pr_1363	22059	0	124	0.00562129	Pieris_rapae	4	Canada	Pr_1363_Canada_K_4
Pr_1364	22059	0	162	0.00734394	Pieris_rapae	4	Canada	Pr_1364_Canada_K_4
Pr_1365	22059	0	113	0.00512263	Pieris_rapae	4	Canada	Pr_1365_Canada_K_4
Pr_1366	22059	0	151	0.00684528	Pieris_rapae	4	Canada	Pr_1366_Canada_K_4
Pr_1367	22059	0	143	0.00648261	Pieris_rapae	4	Canada	Pr_1367_Canada_K_4
Pr_1370	22059	0	15288	0.69305	Pieris_napi	10	NA	Pr_1370_NA_K_10
Pr_1373	22059	0	13977	0.633619	Pieris_napi	10	NA	Pr_1373_NA_K_10
Pr_1376	22059	0	151	0.00684528	Pieris_rapae	2	Austria	Pr_1376_Austria_K_2
Pr_1381	22059	0	185	0.0083866	Pieris_rapae	2	Italy	Pr_1381_Italy_K_2
Pr_1382	22059	0	177	0.00802394	Pieris_rapae	2	Italy	Pr_1382_Italy_K_2
Pr_1383	22059	0	156	0.00707194	Pieris_rapae	2	Italy	Pr_1383_Italy_K_2
Pr_1384	22059	0	266	0.0120586	Pieris_rapae	2	Italy	Pr_1384_Italy_K_2
Pr_1385	22059	0	177	0.00802394	Pieris_rapae	2	Italy	Pr_1385_Italy_K_2
Pr_1386	22059	0	287	0.0130106	Pieris_rapae	2	Italy	Pr_1386_Italy_K_2
Pr_1394	22059	0	1064	0.0482343	Pieris_rapae	4	USA	Pr_1394_USA_K_4
Pr_1403	22059	0	1146	0.0519516	Pieris_rapae	4	USA	Pr_1403_USA_K_4
Pr_1432	22059	0	213	0.00965592	Pieris_rapae	4	USA	Pr_1432_USA_K_4
Pr_1434	22059	0	882	0.0399837	Pieris_rapae	4	USA	Pr_1434_USA_K_4
Pr_1435	22059	0	176	0.0079786	Pieris_rapae	4	USA	Pr_1435_USA_K_4
Pr_1436	22059	0	182	0.0082506	Pieris_rapae	4	USA	Pr_1436_USA_K_4
Pr_1437	22059	0	186	0.00843193	Pieris_rapae	4	USA	Pr_1437_USA_K_4
Pr_1438	22059	0	272	0.0123306	Pieris_rapae	4	USA	Pr_1438_USA_K_4
Pr_1439	22059	0	221	0.0100186	Pieris_rapae	4	USA	Pr_1439_USA_K_4
Pr_1440	22059	0	184	0.00834127	Pieris_rapae	4	USA	Pr_1440_USA_K_4
Pr_1459	22059	0	172	0.00779727	Pieris_rapae	4	USA	Pr_1459_USA_K_4
Pr_1460	22059	0	138	0.00625595	Pieris_rapae	4	USA	Pr_1460_USA_K_4
Pr_1461	22059	0	134	0.00607462	Pieris_rapae	4	USA	Pr_1461_USA_K_4
Pr_1466	22059	0	143	0.00648261	Pieris_rapae	4	USA	Pr_1466_USA_K_4
Pr_1468	22059	0	151	0.00684528	Pieris_rapae	4	USA	Pr_1468_USA_K_4
Pr_1472	22059	0	127	0.00575729	Pieris_rapae	4	USA	Pr_1472_USA_K_4
Pr_1478	22059	0	143	0.00648261	Pieris_rapae	4	USA	Pr_1478_USA_K_4
Pr_1488	22059	0	122	0.00553062	Pieris_rapae	4	USA	Pr_1488_USA_K_4
Pr_1491	22059	0	160	0.00725328	Pieris_rapae	4	USA	Pr_1491_USA_K_4
Pr_1496	22059	0	159	0.00720794	Pieris_rapae	4	USA	Pr_1496_USA_K_4
Pr_1497	22059	0	131	0.00593862	Pieris_rapae	4	USA	Pr_1497_USA_K_4
Pr_1498	22059	0	563	0.0255225	Pieris_rapae	3	Australia	Pr_1498_Australia_K_3
Pr_1499	22059	0	199	0.00902126	Pieris_rapae	3	Australia	Pr_1499_Australia_K_3
Pr_1502	22059	0	173	0.0078426	Pieris_rapae	3	Australia	Pr_1502_Australia_K_3
Pr_1503	22059	0	335	0.0151865	Pieris_rapae	3	Australia	Pr_1503_Australia_K_3
Pr_1504	22059	0	151	0.00684528	Pieris_rapae	3	Australia	Pr_1504_Australia_K_3
Pr_1507	22059	0	723	0.0327757	Pieris_rapae	3	Australia	Pr_1507_Australia_K_3
Pr_1509	22059	0	216	0.00979192	Pieris_rapae	3	Australia	Pr_1509_Australia_K_3
Pr_151	22059	0	1095	0.0496396	Pieris_rapae	5	USA	Pr_151_USA_K_5
Pr_1513	22059	0	160	0.00725328	Pieris_rapae	3	Australia	Pr_1513_Australia_K_3
Pr_1514	22059	0	180	0.00815993	Pieris_rapae	3	Australia	Pr_1514_Australia_K_3
Pr_1515	22059	0	798	0.0361757	Pieris_rapae	3	New_Zealand	Pr_1515_New_Zealand_K_3
Pr_152	22059	0	1098	0.0497756	Pieris_rapae	5	USA	Pr_152_USA_K_5
Pr_1526	22059	0	134	0.00607462	Pieris_rapae	3	Australia	Pr_1526_Australia_K_3
Pr_1527	22059	0	199	0.00902126	Pieris_rapae	3	Australia	Pr_1527_Australia_K_3
Pr_1528	22059	0	197	0.0089306	Pieris_rapae	3	Australia	Pr_1528_Australia_K_3
Pr_1529	22059	0	177	0.00802394	Pieris_rapae	3	Australia	Pr_1529_Australia_K_3
Pr_154	22059	0	1104	0.0500476	Pieris_rapae	5	USA	Pr_154_USA_K_5
Pr_168	22059	0	136	0.00616528	Pieris_rapae	4	USA	Pr_168_USA_K_4
Pr_169	22059	0	2408	0.109162	Pieris_rapae	4	USA	Pr_169_USA_K_4
Pr_170	22059	0	178	0.00806927	Pieris_rapae	4	USA	Pr_170_USA_K_4
Pr_171	22059	0	452	0.0204905	Pieris_rapae	4	USA	Pr_171_USA_K_4
Pr_176	22059	0	166	0.00752527	Pieris_rapae	4	USA	Pr_176_USA_K_4
Pr_177	22059	0	114	0.00516796	Pieris_rapae	4	USA	Pr_177_USA_K_4
Pr_178	22059	0	121	0.00548529	Pieris_rapae	4	USA	Pr_178_USA_K_4
Pr_179	22059	0	118	0.00534929	Pieris_rapae	4	USA	Pr_179_USA_K_4
Pr_180	22059	0	185	0.0083866	Pieris_rapae	4	USA	Pr_180_USA_K_4
Pr_1800	22059	0	210	0.00951992	Pieris_rapae	4	USA	Pr_1800_USA_K_4
Pr_1801	22059	0	190	0.00861326	Pieris_rapae	4	USA	Pr_1801_USA_K_4
Pr_1802	22059	0	161	0.00729861	Pieris_rapae	4	USA	Pr_1802_USA_K_4
Pr_1803	22059	0	125	0.00566662	Pieris_rapae	4	USA	Pr_1803_USA_K_4
Pr_1804	22059	0	133	0.00602929	Pieris_rapae	4	USA	Pr_1804_USA_K_4
Pr_1806	22059	0	827	0.0374904	Pieris_rapae	4	USA	Pr_1806_USA_K_4
Pr_181	22059	0	133	0.00602929	Pieris_rapae	4	USA	Pr_181_USA_K_4
Pr_1810	22059	0	125	0.00566662	Pieris_rapae	3	Australia	Pr_1810_Australia_K_3
Pr_1814	22059	0	153	0.00693594	Pieris_rapae	3	Australia	Pr_1814_Australia_K_3
Pr_182	22059	0	153	0.00693594	Pieris_rapae	4	USA	Pr_182_USA_K_4
Pr_183	22059	0	141	0.00639195	Pieris_rapae	4	USA	Pr_183_USA_K_4
Pr_1834	22059	0	212	0.00961059	Pieris_rapae	4	USA	Pr_1834_USA_K_4
Pr_1835	22059	0	199	0.00902126	Pieris_rapae	4	USA	Pr_1835_USA_K_4
Pr_1836	22059	0	175	0.00793327	Pieris_rapae	4	USA	Pr_1836_USA_K_4
Pr_1837	22059	0	196	0.00888526	Pieris_rapae	4	USA	Pr_1837_USA_K_4
Pr_1838	22059	0	180	0.00815993	Pieris_rapae	4	USA	Pr_1838_USA_K_4
Pr_1839	22059	0	159	0.00720794	Pieris_rapae	4	USA	Pr_1839_USA_K_4
Pr_1840	22059	0	118	0.00534929	Pieris_rapae	4	USA	Pr_1840_USA_K_4
Pr_1841	22059	0	181	0.00820527	Pieris_rapae	4	USA	Pr_1841_USA_K_4
Pr_1842	22059	0	217	0.00983725	Pieris_rapae	4	USA	Pr_1842_USA_K_4
Pr_1843	22059	0	162	0.00734394	Pieris_rapae	4	USA	Pr_1843_USA_K_4
Pr_1844	22059	0	160	0.00725328	Pieris_rapae	4	USA	Pr_1844_USA_K_4
Pr_1845	22059	0	188	0.0085226	Pieris_rapae	3	Australia	Pr_1845_Australia_K_3
Pr_1848	22059	0	149	0.00675461	Pieris_rapae	3	Australia	Pr_1848_Australia_K_3
Pr_1849	22059	0	168	0.00761594	Pieris_rapae	3	Australia	Pr_1849_Australia_K_3
Pr_1850	22059	0	208	0.00942926	Pieris_rapae	3	Australia	Pr_1850_Australia_K_3
Pr_1851	22059	0	240	0.0108799	Pieris_rapae	3	Australia	Pr_1851_Australia_K_3
Pr_1852	22059	0	217	0.00983725	Pieris_rapae	3	Australia	Pr_1852_Australia_K_3
Pr_1856	22059	0	140	0.00634662	Pieris_rapae	4	USA	Pr_1856_USA_K_4
Pr_1865	22059	0	133	0.00602929	Pieris_rapae	4	USA	Pr_1865_USA_K_4
Pr_1868	22059	0	174	0.00788794	Pieris_rapae	4	USA	Pr_1868_USA_K_4
Pr_1876	22059	0	184	0.00834127	Pieris_rapae	4	USA	Pr_1876_USA_K_4
Pr_1877	22059	0	149	0.00675461	Pieris_rapae	5	USA	Pr_1877_USA_K_5
Pr_1878	22059	0	243	0.0110159	Pieris_rapae	2	England	Pr_1878_England_K_2
Pr_1879	22059	0	172	0.00779727	Pieris_rapae	2	England	Pr_1879_England_K_2
Pr_1880	22059	0	217	0.00983725	Pieris_rapae	2	England	Pr_1880_England_K_2
Pr_1881	22059	0	187	0.00847727	Pieris_rapae	2	England	Pr_1881_England_K_2
Pr_1882	22059	0	193	0.00874926	Pieris_rapae	2	England	Pr_1882_England_K_2
Pr_1883	22059	0	229	0.0103813	Pieris_rapae	2	England	Pr_1883_England_K_2
Pr_1884	22059	0	162	0.00734394	Pieris_rapae	2	England	Pr_1884_England_K_2
Pr_1885	22059	0	202	0.00915726	Pieris_rapae	2	England	Pr_1885_England_K_2
Pr_1886	22059	0	203	0.00920259	Pieris_rapae	2	England	Pr_1886_England_K_2
Pr_1887	22059	0	331	0.0150052	Pieris_rapae	2	England	Pr_1887_England_K_2
Pr_1888	22059	0	173	0.0078426	Pieris_rapae	2	England	Pr_1888_England_K_2
Pr_1889	22059	0	165	0.00747994	Pieris_rapae	2	England	Pr_1889_England_K_2
Pr_1890	22059	0	190	0.00861326	Pieris_rapae	2	England	Pr_1890_England_K_2
Pr_1891	22059	0	233	0.0105626	Pieris_rapae	2	England	Pr_1891_England_K_2
Pr_1892	22059	0	349	0.0158212	Pieris_rapae	2	England	Pr_1892_England_K_2
Pr_1895	22059	0	185	0.0083866	Pieris_rapae	4	USA	Pr_1895_USA_K_4
Pr_1896	22059	0	166	0.00752527	Pieris_rapae	4	USA	Pr_1896_USA_K_4
Pr_1899	22059	0	234	0.0106079	Pieris_rapae	4	USA	Pr_1899_USA_K_4
Pr_1901	22059	0	219	0.00992792	Pieris_rapae	4	USA	Pr_1901_USA_K_4
Pr_1915	22059	0	197	0.0089306	Pieris_rapae	1	Algeria	Pr_1915_Algeria_K_1
Pr_1916	22059	0	161	0.00729861	Pieris_rapae	1	Algeria	Pr_1916_Algeria_K_1
Pr_1917	22059	0	204	0.00924793	Pieris_rapae	2	Italy	Pr_1917_Italy_K_2
Pr_1918	22059	0	161	0.00729861	Pieris_rapae	2	France	Pr_1918_France_K_2
Pr_1919	22059	0	180	0.00815993	Pieris_rapae	2	France	Pr_1919_France_K_2
Pr_1920	22059	0	216	0.00979192	Pieris_rapae	2	France	Pr_1920_France_K_2
Pr_1921	22059	0	198	0.00897593	Pieris_rapae	1	Tunisia	Pr_1921_Tunisia_K_1
Pr_1922	22059	0	193	0.00874926	Pieris_rapae	1	Tunisia	Pr_1922_Tunisia_K_1
Pr_1923	22059	0	186	0.00843193	Pieris_rapae	1	Tunisia	Pr_1923_Tunisia_K_1
Pr_1924	22059	0	188	0.0085226	Pieris_rapae	2	Italy	Pr_1924_Italy_K_2
Pr_1925	22059	0	174	0.00788794	Pieris_rapae	1	Algeria	Pr_1925_Algeria_K_1
Pr_1926	22059	0	219	0.00992792	Pieris_rapae	2	Sweden	Pr_1926_Sweden_K_2
Pr_1927	22059	0	181	0.00820527	Pieris_rapae	2	Sweden	Pr_1927_Sweden_K_2
Pr_1928	22059	0	220	0.00997325	Pieris_rapae	2	Greece	Pr_1928_Greece_K_2
Pr_1929	22059	0	219	0.00992792	Pieris_rapae	2	Bulgaria	Pr_1929_Bulgaria_K_2
Pr_1930	22059	0	174	0.00788794	Pieris_rapae	2	Bulgaria	Pr_1930_Bulgaria_K_2
Pr_1931	22059	0	189	0.00856793	Pieris_rapae	2	Bulgaria	Pr_1931_Bulgaria_K_2
Pr_1932	22059	0	249	0.0112879	Pieris_rapae	2	Bulgaria	Pr_1932_Bulgaria_K_2
Pr_1933	22059	0	214	0.00970126	Pieris_rapae	2	Bulgaria	Pr_1933_Bulgaria_K_2
Pr_1934	22059	0	177	0.00802394	Pieris_rapae	2	Bulgaria	Pr_1934_Bulgaria_K_2
Pr_1935	22059	0	203	0.00920259	Pieris_rapae	2	Bulgaria	Pr_1935_Bulgaria_K_2
Pr_1936	22059	0	218	0.00988259	Pieris_rapae	2	Greece	Pr_1936_Greece_K_2
Pr_1937	22059	0	207	0.00938392	Pieris_rapae	2	Greece	Pr_1937_Greece_K_2
Pr_1938	22059	0	234	0.0106079	Pieris_rapae	2	Greece	Pr_1938_Greece_K_2
Pr_1939	22059	0	180	0.00815993	Pieris_rapae	2	Greece	Pr_1939_Greece_K_2
Pr_1940	22059	0	170	0.00770661	Pieris_rapae	2	Greece	Pr_1940_Greece_K_2
Pr_1941	22059	0	164	0.00743461	Pieris_rapae	2	Romania	Pr_1941_Romania_K_2
Pr_1942	22059	0	203	0.00920259	Pieris_rapae	2	Greece	Pr_1942_Greece_K_2
Pr_1943	22059	0	186	0.00843193	Pieris_rapae	2	Greece	Pr_1943_Greece_K_2
Pr_1944	22059	0	205	0.00929326	Pieris_rapae	2	Greece	Pr_1944_Greece_K_2
Pr_1945	22059	0	176	0.0079786	Pieris_rapae	2	Greece	Pr_1945_Greece_K_2
Pr_1946	22059	0	207	0.00938392	Pieris_rapae	1	Algeria	Pr_1946_Algeria_K_1
Pr_1947	22059	0	196	0.00888526	Pieris_rapae	1	Algeria	Pr_1947_Algeria_K_1
Pr_1948	22059	0	194	0.0087946	Pieris_rapae	1	Algeria	Pr_1948_Algeria_K_1
Pr_1949	22059	0	801	0.0363117	Pieris_rapae	7	China	Pr_1949_China_K_7
Pr_195	22059	0	145	0.00657328	Pieris_rapae	4	USA	Pr_195_USA_K_4
Pr_1950	22059	0	1901	0.086178	Pieris_rapae	7	China	Pr_1950_China_K_7
Pr_1951	22059	0	977	0.0442903	Pieris_rapae	7	China	Pr_1951_China_K_7
Pr_1952	22059	0	906	0.0410717	Pieris_rapae	7	China	Pr_1952_China_K_7
Pr_1953	22059	0	729	0.0330477	Pieris_rapae	7	China	Pr_1953_China_K_7
Pr_1954	22059	0	720	0.0326397	Pieris_rapae	7	China	Pr_1954_China_K_7
Pr_1955	22059	0	643	0.0291491	Pieris_rapae	7	China	Pr_1955_China_K_7
Pr_1956	22059	0	765	0.0346797	Pieris_rapae	7	China	Pr_1956_China_K_7
Pr_1957	22059	0	752	0.0340904	Pieris_rapae	7	China	Pr_1957_China_K_7
Pr_1958	22059	0	952	0.043157	Pieris_rapae	7	China	Pr_1958_China_K_7
Pr_1959	22059	0	821	0.0372184	Pieris_rapae	7	China	Pr_1959_China_K_7
Pr_196	22059	0	222	0.0100639	Pieris_rapae	4	USA	Pr_196_USA_K_4
Pr_1960	22059	0	741	0.0335917	Pieris_rapae	7	China	Pr_1960_China_K_7
Pr_1961	22059	0	878	0.0398023	Pieris_rapae	7	China	Pr_1961_China_K_7
Pr_1963	22059	0	931	0.042205	Pieris_rapae	7	China	Pr_1963_China_K_7
Pr_1964	22059	0	739	0.0335011	Pieris_rapae	7	China	Pr_1964_China_K_7
Pr_1965	22059	0	776	0.0351784	Pieris_rapae	7	China	Pr_1965_China_K_7
Pr_1966	22059	0	785	0.0355864	Pieris_rapae	7	China	Pr_1966_China_K_7
Pr_1967	22059	0	734	0.0332744	Pieris_rapae	7	China	Pr_1967_China_K_7
Pr_1968	22059	0	192	0.00870393	Pieris_rapae	2	Ukraine	Pr_1968_Ukraine_K_2
Pr_1969	22059	0	220	0.00997325	Pieris_rapae	2	Ukraine	Pr_1969_Ukraine_K_2
Pr_1970	22059	0	222	0.0100639	Pieris_rapae	2	England	Pr_1970_England_K_2
Pr_1971	22059	0	193	0.00874926	Pieris_rapae	2	England	Pr_1971_England_K_2
Pr_1972	22059	0	183	0.00829593	Pieris_rapae	2	England	Pr_1972_England_K_2
Pr_1973	22059	0	215	0.00974659	Pieris_rapae	2	Italy	Pr_1973_Italy_K_2
Pr_1974	22059	0	177	0.00802394	Pieris_rapae	2	Spain	Pr_1974_Spain_K_2
Pr_1975	22059	0	200	0.00906659	Pieris_rapae	2	Spain	Pr_1975_Spain_K_2
Pr_1976	22059	0	159	0.00720794	Pieris_rapae	2	France	Pr_1976_France_K_2
Pr_1977	22059	0	176	0.0079786	Pieris_rapae	2	France	Pr_1977_France_K_2
Pr_1978	22059	0	162	0.00734394	Pieris_rapae	2	France	Pr_1978_France_K_2
